('Date', 'Date');('Other', 'tournament-name');('Player', 'p1');('Player', 'p2');('Other', 'maxOdds_1');('Other', 'maxOdds_2');('modelPred', '');confIndexModel_p1;confIndexModel_p2;confIndexModel_max;modelProba1;modelProba2;probaModel_max;valueBetModel;PL_valueBetModel;PL_favoriteBetModel;CUMSUM FAV;OddFav;;ROI;2.68%
2022-08-24 15:15:00;ATP US Open 2022 (hard);Mager G.;Verdasco F.;3;1.43;2;1.02;0.9438;1.02;0.34;0.66;0.66;1;-1;0.43;21.1;1.43;;;
2022-08-24 16:35:00;ATP US Open 2022 (hard);Moroni M.;Collarini A.;1.65;2.38;2;0.66;1.428;1.428;0.4;0.6;0.6;2;1.38;1.38;22.48;2.38;;;
2022-08-24 16:45:00;ATP US Open 2022 (hard);Maestrelli F.;Guinard M.;1.78;2.24;2;0.6052;1.4784;1.4784;0.34;0.66;0.66;2;-1;-1;21.48;2.24;;;
2022-08-24 16:50:00;ATP US Open 2022 (hard);Kotov P.;Meligeni Alves F.;1.27;4.68;1;0.8636;1.4976;1.4976;0.68;0.32;0.68;2;-1;0.27;21.75;1.27;;;
2022-08-24 16:55:00;ATP US Open 2022 (hard);Trungelliti M.;Zhang Z.;2.47;1.58;2;1.0374;0.9164;1.0374;0.42;0.58;0.58;1;-1;0.58;22.33;1.58;;;
2022-08-24 17:25:00;ATP US Open 2022 (hard);Masur D.;Ymer E.;2.66;1.56;2;1.1172;0.9048;1.1172;0.42;0.58;0.58;1;1.66;-1;21.33;1.56;;;
2022-08-24 17:45:00;ATP US Open 2022 (hard);Lestienne C.;Vavassori A.;1.27;3.97;1;0.8382;1.3498;1.3498;0.66;0.34;0.66;2;-1;0.27;21.6;1.27;;;
2022-08-24 18:05:00;ATP US Open 2022 (hard);Ofner S.;Hanfmann Y.;2.24;1.9;2;0.9408;1.102;1.102;0.42;0.58;0.58;2;-1;-1;20.6;1.9;;;
2022-08-24 18:35:00;ATP US Open 2022 (hard);Arnaldi M.;Peniston R.;2.86;1.55;2;1.2584;0.868;1.2584;0.44;0.56;0.56;1;1.86;-1;19.6;1.55;;;
2022-08-24 18:35:00;ATP US Open 2022 (hard);Couacaud E.;Pucinelli de Almeida M.;1.23;4.75;1;0.6888;2.09;2.09;0.56;0.44;0.56;2;-1;0.23;19.83;1.23;;;
2022-08-24 19:05:00;ATP Winston-Salem 2022 (hard);Johnson S.;Gasquet R.;1.93;2;2;0.8106;1.16;1.16;0.42;0.58;0.58;2;1;1;20.83;2;;;
